Platform,Project,Source,Asset,Database_Dataset,Table_Name,Table_Size_GB,File_Path_HDFS,Link_Script_Notebook,Link_Pipeline_Orchestration
Fabric,Star,Fabric,Data Landing,L1_STAR,Order_H302,0.02,,DBT ssh 10.252.165.60,http://10.252.136.230:8080/dags/dragon_L2/grid
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_OrderTransactionItems,0.00000000000,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_OrderTransactions,0.00000000000,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderCustomerAddresses,0.59636688183,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderCustomerInformations,0.51142883300,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderCustomerVehicles,0.30297088574,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderDetailPartIndents,0.07241821289,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderDetailPartSerialNumbers,0.00099182128,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Data Landing,L1_STAR,Order_SalesOrderDetailParts,1.20141601562,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/synapsenotebooks/76893104-6fd4-47a4-a8bb-06f8726deeb4?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/pipelines/a5ba39df-7524-4f11-90b4-0b30409a7633?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderMds,0.00336456250,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderPartMds,0.00698089550,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderPaymentInformations,0.00000000000,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderPricingDetails,34.97166442871,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderPromoInformationDetails,0.06393432617,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
